Model,Domain,Task,Organization,Authors,Publication date,Reference,Link,Citations,Notability criteria,Notability criteria notes,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset,Training dataset notes,(DEPRECATED) Training dataset size (datapoints),Dataset size notes,Epochs,Training time (hours),Training time notes,Training hardware,Hardware quantity,Compute cost notes,Compute sponsor categorization,Abstract,Model accessibility,Hardware utilization (MFU),Confidence,Country (of organization),Base model,Finetune compute (FLOP),Finetune compute notes,Batch size,Batch size notes,Organization categorization,Training code accessibility,Accessibility notes,Possibly over 1e23 FLOP,Frontier model,Training power draw (W),Training compute estimation method
PepGLAD,Biology,Protein design,"Tsinghua University,Renmin University of China","Xiangzhe Kong, Yinjun Jia, Wenbing Huang, Yang Liu",2024-02-21,Full-Atom Peptide Design with Geometric Latent Diffusion,https://arxiv.org/abs/2402.13555,,,,,,,"
",PDB (Protein Data Bank),,196600.99999999985,"
PepBench Training: 4,157 entries × 10 residues = 41,570 residues
PepBDB Training: 8,434 entries × 10 residues = 84,340 residues
ProtFrag: 70,645 monomers × 1 residue = 70,645 residues

Total: 41,570 + 84,340 + 70,645 = 196,555 residues",560.0,,,,1.0,,,"Peptide design plays a pivotal role in therapeutics, allowing brand new possibility to leverage target binding sites that are previously undruggable. Most existing methods are either inefficient or only concerned with the target-agnostic design of 1D sequences. In this paper, we propose a generative model for full-atom \textbf{Pep}tide design with \textbf{G}eometric \textbf{LA}tent \textbf{D}iffusion (PepGLAD) given the binding site. We first establish a benchmark consisting of both 1D sequences and 3D structures from Protein Data Bank (PDB) and literature for systematic evaluation. We then identify two major challenges of leveraging current diffusion-based models for peptide design: the full-atom geometry and the variable binding geometry. To tackle the first challenge, PepGLAD derives a variational autoencoder that first encodes full-atom residues of variable size into fixed-dimensional latent representations, and then decodes back to the residue space after conducting the diffusion process in the latent space. For the second issue, PepGLAD explores a receptor-specific affine transformation to convert the 3D coordinates into a shared standard space, enabling better generalization ability across different binding shapes. Experimental Results show that our method not only improves diversity and binding affinity significantly in the task of sequence-structure co-design, but also excels at recovering reference structures for binding conformation generation.",,,Confident,"China,China",,,,,,"Academia,Academia",,,,,,Hardware
RNA-MSM,Biology,Protein or nucleotide language model (pLM/nLM),"Peking University,Shanghai AI Lab,Griffith University,Peng Cheng Laboratory,Shenzhen Bay Laboratory","Yikun Zhang, Mei Lang, Jiuhong Jiang, Zhiqiang Gao, Fan Xu, Thomas Litfin, Ke Chen, Jaswinder Singh, Xiansong Huang, Guoli Song, Yonghong Tian, Jian Zhan, Jie Chen, Yaoqi Zhou",2023-11-06,Multiple sequence alignment-based RNA language model and its application to structural inference,https://academic.oup.com/nar/article/52/1/e3/7369930,82.0,,,,10 blocks in the MSA transformer,,8 V100 32Gbs at FP32,,,64000000.99999989,"3932 (families) × 512 (sequences per family) × 32 (tokens per sequence) = 64,421,888 unique tokens

Total: 6.4e7 tokens",300.0,,,,,,,"Compared with proteins, DNA and RNA are more difficult languages to interpret because four-letter coded DNA/RNA sequences have less infor-
mation content than 20-letter coded protein sequences. While BERT (Bidirectional Encoder Representations from Transformers)-like language
models have been developed for RNA, they are ineffective at capturing the evolutionary information from homologous sequences because unlike
proteins, RNA sequences are less conserved. Here, we have developed an unsupervised multiple sequence alignment-based RNA language
model (RNA-MSM) by utilizing homologous sequences from an automatic pipeline, RNAcmap, as it can provide significantly more homologous se-
quences than manually annotated Rfam. We demonstrate that the resulting unsupervised, two-dimensional attention maps and one-dimensional
embeddings from RNA-MSM contain structural information. In fact, they can be directly mapped with high accuracy to 2D base pairing probabil-
ities and 1D solvent accessibilities, respectively. Further fine-tuning led to significantly improved performance on these two downstream tasks
compared with existing state-of-the-art techniques including SPOT-RNA2 and RNAsnap2. By comparison, RNA-FM, a BERT-based RNA language
model, performs worse than one-hot encoding with its embedding in base pair and solvent-accessible surface area prediction. We anticipate
that the pre-trained RNA-MSM model can be fine-tuned on many other tasks related to RNA structure and function.",Open weights (unrestricted),,Confident,"China,China,Australia,China,China",,,,1.0,,"Academia,Academia,Academia,Academia",,,,,,
ERNIE-RNA,Biology,Protein or nucleotide language model (pLM/nLM),"Microsoft Research,Syngentech,Tsinghua University","Weijie Yin, Zhaoyu Zhang, Liang He, Rui Jiang, Shuo Zhang, Gan Liu, Xuegong Zhang, Tao Qin, Zhen Xie",2024-03-17,ERNIE-RNA: An RNA Language Model with Structure-enhanced Representations,https://www.biorxiv.org/content/10.1101/2024.03.17.585376v1.abstract,20.0,,,86000000.0,,2.1000000000000013e+21,"1. Hardware: 24x V100 32GB GPUs (1.30e+14 FLOPs/s per GPU)
2. Training duration: 20 days (directly provided) = 1.728e+6 seconds
3. Utilization: 40%
4. Calculation: 
   24 GPUs × 1.30e+14 FLOPs/s × 1.728e+6 seconds × 0.4 utilization = 2.1e+21 FLOPs",,,6120000000.0,"Number of sequences (20.4M) × Maximum sequence length (1024)
Average assumed length ~300
20.4M*300=6120000000",,480.0,,NVIDIA Tesla V100 DGXS 32 GB,24.0,,,"With large amounts of unlabeled RNA sequences data produced by high-throughput sequencing technologies, pre-trained RNA language models have been developed to estimate semantic space of RNA molecules, which facilities the understanding of grammar of RNA language. However, existing RNA language models overlook the impact of structure when modeling the RNA semantic space, resulting in incomplete feature extraction and suboptimal performance across various downstream tasks. In this study, we developed a RNA pre-trained language model named ERNIE-RNA (Enhanced Representations with base-pairing restriction for RNA modeling) based on a modified BERT (Bidirectional Encoder Representations from Transformers) by incorporating base-pairing restriction with no MSA (Multiple Sequence Alignment) information. We found that the attention maps from ERNIE-RNA with no fine-tuning are able to capture RNA structure in the zero-shot experiment more precisely than conventional methods such as fine-tuned RNAfold and RNAstructure, suggesting that the ERNIE-RNA can provide comprehensive RNA structural representations. Furthermore, ERNIE-RNA achieved SOTA (state-of-the-art) performance after fine-tuning for various downstream tasks, including RNA structural and functional predictions. In summary, our ERNIE-RNA model provides general features which can be widely and effectively applied in various subsequent research tasks. Our results indicate that introducing key knowledge-based prior information in the BERT framework may be a useful strategy to enhance the performance of other language models.",,,Confident,"United States of America,China,China",,,,,,"Industry,Industry,Academia",,,,,11868.95362272414,Hardware
RNA language models predict mutations that improve RNA function,Biology,Mutation prediction,"NERSC, Lawrence Berkeley National Laboratory,University of California San Francisco,University of California (UC) Berkeley","Yekaterina Shulgina, Marena I Trinidad, Conner J Langeberg, Hunter Nisonoff, Seyone Chithrananda, Petr Skopintsev, Amos J Nissley, Jaymin Patel, Ron S Boger, Honglue Shi, Peter H Yoon, Erin E Doherty, Tara Pande, Aditya M Iyer, Jennifer A Doudna, Jamie H D Cate",2024-09-16,RNA language models predict mutations that improve RNA function,https://pmc.ncbi.nlm.nih.gov/articles/PMC11014562/,12.0,,,,,,,,,363000001.00000024,"89,000,000 + 274,000,000 = 363,000,000 tokens

Dataset 1 (23S rRNA): 89M tokens
Dataset 2 (GARNET): 274M tokens
Total combined: 363M tokens (3.63e8)",,,,,,,,"Structured RNA lies at the heart of many central biological processes, from gene expression to catalysis. While advances in deep learning enable the prediction of accurate protein structural models, RNA structure prediction is not possible at present due to a lack of abundant high-quality reference data1. Furthermore, available sequence data are generally not associated with organismal phenotypes that could inform RNA function2–4. We created GARNET (Gtdb Acquired RNa with Environmental Temperatures), a new database for RNA structural and functional analysis anchored to the Genome Taxonomy Database (GTDB)5. GARNET links RNA sequences derived from GTDB genomes to experimental and predicted optimal growth temperatures of GTDB reference organisms. This enables construction of deep and diverse RNA sequence alignments to be used for machine learning. Using GARNET, we define the minimal requirements for a sequence- and structure-aware RNA generative model. We also develop a GPT-like language model for RNA in which overlapping triplet tokenization provides optimal encoding. Leveraging hyperthermophilic RNAs in GARNET and these RNA generative models, we identified mutations in ribosomal RNA that confer increased thermostability to the Escherichia coli ribosome. The GTDB-derived data and deep learning models presented here provide a foundation for understanding the connections between RNA sequence, structure, and function.",,,Confident,"United States of America,United States of America,United States of America",,,,,,"Government,Academia,Academia",,,,,,
Uni-RNA-L8,Biology,Protein or nucleotide language model (pLM/nLM),DP Technology,"Xi Wang, Ruichu Gu, Zhiyuan Chen, Yongge Li, Xiaohong Ji, Guolin Ke, Han Wen",2023-07-12,UNI-RNA: UNIVERSAL PRE-TRAINED MODELS REVOLUTIONIZE RNA RESEARCH,https://www.biorxiv.org/content/10.1101/2023.07.11.548588v1.abstract,43.0,,,25000000.0,Table 8: Model architecture parameters of different Uni-RNA models,,"""We trained our proposed network on 128 A100""",,,50000000000.0,"Table 8: Model architecture parameters of different Uni-RNA models

Sequences are capped at 4096 length, but no average sequence length is given. Estimating at 500 tokens per sequence. 

100000000*500=50000000000",,,,NVIDIA A100,128.0,,,"RNA molecules play a crucial role as intermediaries in diverse biological processes. Attaining a profound understanding of their function can substantially enhance our comprehension of life’s activities and facilitate drug development for numerous diseases. The advent of high-throughput sequencing technologies makes vast amounts of RNA sequence data accessible, which contains invaluable information and knowledge. However, deriving insights for further application from such an immense volume of data poses a significant challenge. Fortunately, recent advancements in pre-trained models have surfaced as a revolutionary solution for addressing such challenges owing to their exceptional ability to automatically mine and extract hidden knowledge from massive datasets. Inspired by the past successes, we developed a novel context-aware deep learning model named Uni-RNA that performs pre-training on the largest dataset of RNA sequences at the unprecedented scale to date. During this process, our model autonomously unraveled the obscured evolutionary and structural information embedded within the RNA sequences. As a result, through fine-tuning, our model achieved the state-of-the-art (SOTA) performances in a spectrum of downstream tasks, including both structural and functional predictions. Overall, Uni-RNA established a new research paradigm empowered by the large pre-trained model in the field of RNA, enabling the community to unlock the power of AI at a whole new level to significantly expedite the pace of research and foster groundbreaking discoveries.",Unreleased,,Likely,China,,,,,,Industry,,,,,101844.9122337359,
RNAformer,Biology,RNA structure prediction,University of Freiburg,"Jörg K.H. Franke, Frederic Runge, Ryan Köksal,  Rolf Backofen, Frank Hutter",2024-12-01,RNAformer: A Simple Yet Effective Deep Learning Model for RNA Secondary Structure Prediction,https://www.biorxiv.org/content/10.1101/2024.02.12.579881v1.abstract,14.0,,,32000000.0,,,,,,410408.0,"- Biophysical Model: 410,408 (table b1)
",,,,NVIDIA A100,4.0,,,"Traditional RNA secondary structure prediction methods, based on dynamic programming, often fall short in accuracy. Recent advances in deep learning have aimed to address this, but may not adequately learn the biophysical model of RNA folding. Many deep learning approaches are also too complex, incorporating multi-model systems, ensemble strategies, or requiring external data like multiple sequence alignments. In this study, we demonstrate that a single deep learning model, relying solely on RNA sequence input, can effectively learn a biophysical model and outperform existing deep learning methods in standard benchmarks, as well as achieve comparable results to methods that utilize multi-sequence alignments. We dub this model RNAformer and achieve these benefits by a two-dimensional latent space, axial attention, and recycling in the latent space. Further, we found that our model performance improves when we scale it up. We also demonstrate how to refine a pre-trained RNAformer with fine-tuning techniques, which are particularly efficient when applied to a limited amount of high-quality data. A further aspect of our work is addressing the challenges in dataset curation in deep learning, especially regarding data homology. We tackle this through an advanced data processing pipeline that allows for training and evaluation of our model across various levels of sequence similarity. Our models and datasets are openly accessible, offering a simplified yet effective tool for RNA secondary structure prediction.",,,Confident,Germany,,,,,,Academia,,,,,3146.8515482224,
RiboDiffusion,Biology,RNA design,"Beihang University,Nanjing University,Chinese University of Hong Kong (CUHK)","Han Huang, Ziqian Lin, Dongchen He, Liang Hong, Yu Li",2024-06-28,RiboDiffusion: tertiary structure-based RNA inverse folding with generative diffusion models,https://academic.oup.com/bioinformatics/article/40/Supplement_1/i347/7700903,23.0,,,,,,,,,3648000.999999997,"24,322 RNA chains × 150 nucleotides per chain = 3,648,300 data points ≈ 3.648 × 10⁶
(7,322 + 17,000 = 24,322 RNA chains)",,,,,,,,"Motivation
RNA design shows growing applications in synthetic biology and therapeutics, driven by the crucial role of RNA in various biological processes. A fundamental challenge is to find functional RNA sequences that satisfy given structural constraints, known as the inverse folding problem. Computational approaches have emerged to address this problem based on secondary structures. However, designing RNA sequences directly from 3D structures is still challenging, due to the scarcity of data, the nonunique structure-sequence mapping, and the flexibility of RNA conformation.

Results
In this study, we propose RiboDiffusion, a generative diffusion model for RNA inverse folding that can learn the conditional distribution of RNA sequences given 3D backbone structures. Our model consists of a graph neural network-based structure module and a Transformer-based sequence module, which iteratively transforms random sequences into desired sequences. By tuning the sampling weight, our model allows for a trade-off between sequence recovery and diversity to explore more candidates. We split test sets based on RNA clustering with different cut-offs for sequence or structure similarity. Our model outperforms baselines in sequence recovery, with an average relative improvement of 11% for sequence similarity splits and 16% for structure similarity splits. Moreover, RiboDiffusion performs consistently well across various RNA length categories and RNA types. We also apply in silico folding to validate whether the generated sequences can fold into the given 3D RNA backbones. Our method could be a powerful tool for RNA design that explores the vast sequence space and finds novel solutions to 3D structural constraints.",Open weights (unrestricted),,Confident,"China,China,Hong Kong",,,,,,"Academia,Academia,Academia",Unreleased,"MIT license (the repo seems to include checkpoints and inference code only)
https://github.com/ml4bio/RiboDiffusion",,,,
RNADiffFold,Biology,RNA structure prediction,"Hangzhou Institute of Medicine,Zhejiang University (ZJU),University of Chinese Academy of Sciences","Zhen Wang, Yizhen Feng, Qingwen Tian, Ziqi Liu, Pengju Yan, Xiaolin Li",2024-10-13,RNADiffFold: Generative RNA Secondary Structure Prediction using Discrete Diffusion Models,https://www.biorxiv.org/content/10.1101/2024.05.28.596177v2.abstract,10.0,,,,,,"
",,,135486.0,"RNAStrAlign (30,451) + bpRNA TR0 (102,318) + Mutate-seq (2,717) = 135,486 unique sequences

30,451 + 102,318 + 2,717 = 135,486

Final result: 135,486 (1.35e5)",400.0,,,NVIDIA A40 PCIe,1.0,,,"RNA molecules are essential macromolecules that perform diverse biological functions in living beings. Precise prediction
of RNA secondary structures is instrumental in deciphering their complex three-dimensional architecture and functionality.
Traditional methodologies for RNA structure prediction, including energy-based and learning-based approaches, often
depict RNA secondary structures from a static perspective and rely on stringent a priori constraints. Inspired by the
success of diffusion models, in this work, we introduce RNADiffFold, an innovative generative prediction approach
of RNA secondary structures based on multinomial diffusion. We reconceptualize the prediction of contact maps as
akin to pixel-wise segmentation and accordingly train a denoising model to refine the contact maps starting from a
noise-infused state progressively. We also devise a potent conditioning mechanism that harnesses features extracted from
RNA sequences to steer the model toward generating an accurate secondary structure. These features encompass one-hot
encoded sequences, probabilistic maps generated from a pre-trained scoring network, and embeddings and attention
maps derived from RNA-FM. Experimental results on both within- and cross-family datasets demonstrate RNADiffFold’s
competitive performance compared with current state-of-the-art methods. Additionally, RNADiffFold has shown a notable
proficiency in capturing the dynamic aspects of RNA structures, a claim corroborated by its performance on datasets
comprising multiple conformations.",Open weights (unrestricted),,Confident,"China,China,China",,,,,,"Academia,Academia",Open source,The code to reproduce our experiments and source data is available at https://github.com/HIM-AIM/RNADiffFold under an MIT License.,,,324.54882530306617,Hardware
DiscDiff,Biology,Protein or nucleotide language model (pLM/nLM),Imperial College London,"Zehui Li, Yuhao Ni, William A V Beardall, Guoxuan Xia, Akashaditya Das, Guy-Bart Stan, Yiren Zhao",2024-02-08,DiscDiff: Latent Diffusion Model for DNA Sequence Generation,https://arxiv.org/abs/2402.06079,17.0,,,,,33999999999999880000,"1. Hardware setup:
- VAE stage: 1x NVIDIA RTX A6000 (3.87e13 FLOP/s)
- UNet stage: 1x NVIDIA A100 40GB (3.12e14 FLOP/s)

2. Training duration (provided directly):
- VAE: 24 GPU-hours (86,400 seconds)
- UNet: 72 GPU-hours (259,200 seconds)

3. Utilization rate: 40% for both stages

4. Calculation:
VAE: 3.87e13 FLOP/s × 86,400s × 0.4 = 1.34e18 FLOPs
UNet: 3.12e14 FLOP/s × 259,200s × 0.4 = 3.24e19 FLOPs
Total = 1.34e18 + 3.24e19 = 3.4e19 FLOPs",,,327680000.0,"160000 examples with 2048 length (Table 1)
1.6e+5*2.0e+3=3.3e+8

",,,,"NVIDIA RTX A6000,NVIDIA A100",2.0,,,"This paper introduces a novel framework for DNA sequence generation, comprising two key components: DiscDiff, a Latent Diffusion Model (LDM) tailored for generating discrete DNA sequences, and Absorb-Escape, a post-training algorithm designed to refine these sequences. Absorb-Escape enhances the realism of the generated sequences by correcting ‘round errors’ inherent in the conversion process between latent and input spaces. Our approach not only sets new standards in DNA sequence generation but also demonstrates superior performance over existing diffusion models, in generating both short and long DNA sequences. Additionally, we introduce EPD-GenDNA, the first comprehensive, multi-species dataset for DNA generation, encompassing 160,000 unique sequences from 15 species. We hope this study will advance the generative modelling of DNA, with potential implications for gene therapy and protein production.",,,Confident,United Kingdom of Great Britain and Northern Ireland,,,,,,Academia,,,,,,Hardware
DDPM,Biology,Gene expression profile generation,"University Paris-Saclay,Radboud University Medical Center","Alice Lacan, Romain André, Michele Sebag, Blaise Hanczar",2024-04-13,In Silico Generation of Gene Expression profiles using Diffusion Models,https://www.biorxiv.org/content/10.1101/2024.04.10.588825v1.abstract,4.0,,,,,900000000000000600,"1. Hardware setup: 1x NVIDIA A40 GPU (1.50×10¹⁴ FLOP/s per GPU)

2. Training duration: 15,000 seconds (directly provided - sum of TCGA training: 3,780s and GTEx training: 11,220s)

3. Utilization rate: 40%

4. Calculation: 1.50×10¹⁴ FLOP/s × 1 GPU × 15,000s × 0.4 = 9.0×10¹⁷ FLOPs",,,16000000.999999998,"TCGA: 6,499 × 978 = 6,356,022
GTEx: 9,796 × 974 = 9,541,304
Total: 6,356,022 + 9,541,304 = 15,897,326 ≈ 1.6e7 datapoints",,,,NVIDIA A40 PCIe,1.0,,,"Motivation RNA-seq data is used for precision medicine (e.g., cancer predictions), which benefits from deep learning approaches to analyze complex gene expression data. However, transcriptomics datasets often have few samples compared to deep learning standards. Synthetic data generation is thus being explored to address this data scarcity. So far, only deep generative models such as Variational Autoencoders (VAEs) and Generative Adversarial Networks (GANs) have been used for this aim. Considering the recent success of diffusion models (DM) in image generation, we propose the first generation pipeline that leverages the power of said diffusion models.

Results This paper presents two state-of-the-art diffusion models (DDPM and DDIM) and achieves their adaptation in the transcriptomics field. DM-generated data of L1000 landmark genes show better predictive performance over TCGA and GTEx datasets. We also compare linear and nonlinear reconstruction methods to recover the complete transcriptome. Results show that such reconstruction methods can boost the performances of diffusion models, as well as VAEs and GANs. Overall, the extensive comparison of various generative models using data quality indicators shows that diffusion models perform best and second-best, making them promising synthetic transcriptomics generators.",,,Confident,"France,Netherlands",,,,,,"Academia,Academia",,,,,325.87415621262454,Hardware
DDIM,Biology,Gene expression profile generation,"University Paris-Saclay,Radboud University Medical Center","Alice Lacan, Romain André, Michele Sebag, Blaise Hanczar",2024-04-13,In Silico Generation of Gene Expression profiles using Diffusion Models,https://www.biorxiv.org/content/10.1101/2024.04.10.588825v1.abstract,4.0,,,,,900000000000000600,"1. Hardware setup: 1x NVIDIA A40 GPU (1.50×10¹⁴ FLOP/s per GPU)

2. Training duration: 15,000 seconds (directly provided - sum of TCGA training: 3,780s and GTEx training: 11,220s)

3. Utilization rate: 40%

4. Calculation: 1.50×10¹⁴ FLOP/s × 1 GPU × 15,000s × 0.4 = 9.0×10¹⁷ FLOPs",,,16000000.999999998,"TCGA: 6,499 × 978 = 6,356,022
GTEx: 9,796 × 974 = 9,541,304
Total: 6,356,022 + 9,541,304 = 15,897,326 ≈ 1.6e7 datapoints",,,,,,,,"Motivation: RNA-seq data is used for precision medicine (e.g., cancer predictions), which benefits from deep learning approaches to analyze complex gene expression data. However, transcriptomics datasets often have few samples compared to deep learning standards. Synthetic data generation is thus being explored to address this data scarcity. So far, only deep generative models such as Variational Autoencoders (VAEs) and Generative Adversarial Networks (GANs) have been used for this aim. Considering the recent success of diffusion models (DM) in image generation, we propose the first generation pipeline that leverages the power of said diffusion models. Results: This paper presents two state-of-the-art diffusion models (DDPM and DDIM) and achieves their adaptation in the transcriptomics field. DM-generated data of L1000 landmark genes show better predictive performance over TCGA and GTEx datasets. We also compare linear and nonlinear reconstruction methods to recover the complete transcriptome. Results show that such reconstruction methods can boost the performances of diffusion models, as well as VAEs and GANs. Overall, the extensive comparison of various generative models using data quality indicators shows that diffusion models perform best and second-best, making them promising synthetic transcriptomics generators.",,,Confident,"France,Netherlands",,,,,,"Academia,Academia",,,,,,Hardware
RNACG,Biology,Protein or nucleotide language model (pLM/nLM),Tsinghua University,"Letian Gao, Zhi John Lu",2024-07-29,RNACG: A Universal RNA Sequence Conditional Generation model based on Flow-Matching,https://arxiv.org/abs/2407.19838,0.0,,,4500000.0,,,,,,,,,,,,,,,"RNA plays a crucial role in diverse life processes. In contrast to the rapid advancement of protein design methods, the work related to RNA is more demanding. Most current RNA design approaches concentrate on specified target attributes and rely on extensive experimental searches. However, these methods remain costly and inefficient due to practical limitations. In this paper, we characterize all sequence design issues as conditional generation tasks and offer parameterized representations for multiple problems. For these problems, we have developed a universal RNA sequence generation model based on flow matching, namely RNACG. RNACG can accommodate various conditional inputs and is portable, enabling users to customize the encoding network for conditional inputs as per their requirements and integrate it into the generation network. We evaluated RNACG in RNA 3D structure inverse folding, 2D structure inverse folding, family-specific sequence generation, and 5'UTR translation efficiency prediction. RNACG attains superior or competitive performance on these tasks compared with other methods. RNACG exhibits extensive applicability in sequence generation and property prediction tasks, providing a novel approach to RNA sequence design and potential methods for simulation experiments with large-scale RNA sequence data.",,,Confident,China,,,,,,Academia,,,,,,
PocketGen,Biology,Protein-ligand contact prediction,"University of Science and Technology of China (USTC),Hefei Comprehensive National Science Center,Harvard University,Broad Institute,Harvard Data Science Initiative","Zaixi Zhang, Wan Xiang Shen, Qi Liu, Marinka Zitnik",2024-09-23,Efficient Generation of Protein Pockets with PocketGen,https://www.biorxiv.org/content/10.1101/2024.02.25.581968v4.abstract,15.0,,,7900000.0,"""As a result, PocketGen requires significantly fewer trainable parameters than RFDiffusionAA [16] (7.9M versus 82.9M trainable parameters).""",21000000000000000000,"""It takes around 48 hours to finish training on 1 Tesla A100 GPU from scratch."" Assume 40% utilization, FP16 tensor precision. ",,,12000000.0,"""Finally, we have 40k protein-ligand pairs for training, 100 pairs for validation, and 100 pairs for testing.""

40000*300 (assumed length) = 12000000",,48.0,,NVIDIA A100,1.0,,,"Designing protein-binding proteins is critical for drug discovery. However, the AI-based design of such proteins is challenging due to the complexity of ligand-protein interactions, the flexibility of ligand molecules and amino acid side chains, and sequence-structure dependencies. We introduce PocketGen, a deep generative model that simultaneously produces both the residue sequence and atomic structure of the protein regions where ligand interactions occur. PocketGen ensures consistency between sequence and structure by using a graph transformer for structural encoding and a sequence refinement module based on a protein language model. The bilevel graph transformer captures interactions at multiple scales, including atom, residue, and ligand levels. To enhance sequence refinement, PocketGen integrates a structural adapter into the protein language model, ensuring that structure-based predictions align with sequence-based predictions. PocketGen can generate high-fidelity protein pockets with superior binding affinity and structural validity. It operates ten times faster than physics-based methods and achieves a 95% success rate, defined as the percentage of generated pockets with higher binding affinity than reference pockets. Additionally, it attains an amino acid recovery rate exceeding 64%.",,,Confident,"China,China,United States of America,United States of America,United States of America",,,,,,"Academia,Research collective,Academia,Research collective,Academia",,,,,432.92454328529004,Hardware
FoldFlow,Biology,Protein generation,"McGill University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),Dreamfold,University of Montreal / Université de Montréal,University of Oxford","Avishek Joey Bose, Tara Akhound-Sadegh, Guillaume Huguet, Kilian Fatras, Jarrid Rector-Brooks, Cheng-Hao Liu, Andrei Cristian Nica, Maksym Korablyov, Michael Bronstein, Alexander Tong",2023-10-03,SE(3) Stochastic Flow Matching for Protein Backbone Generation,https://arxiv.org/abs/2310.02391,134.0,,,,,110000000000000080000,"1. Hardware: 4x NVIDIA A100-80GB GPUs (3.12e14 FLOP/s per GPU)
2. Training duration: 2.5 days = 216,000 seconds (directly provided)
3. Utilization rate: 40%
4. Calculation: 3.12e14 FLOP/s × 4 GPUs × 216,000s × 0.40 = 1.1e20 FLOP",,,16000000.999999998,"PDB Dataset: 22,248 proteins × 200 residues = 4,449,600 tokens
MD Dataset: 200,000 frames × 58 residues = 11,600,000 tokens
Total: 4,449,600 + 11,600,000 = 16,049,600 tokens (1.6 × 10⁷)",,60.0,,NVIDIA A100,4.0,,,"The computational design of novel protein structures has the potential to impact numerous scientific disciplines greatly. Toward this goal, we introduce FOLDFLOW a series of novel generative models of increasing modeling power based on the flow-matching paradigm over 3D rigid motions—i.e. the group SE(3)—enabling accurate modeling of protein backbones. We first introduce FOLDFLOW-BASE a simulation-free approach to learning deterministic continuous-time dynamics and matching invariant target distributions on SE(3). We next accelerate training by incorporating Riemannian optimal transport to create FOLDFLOW-OT leading to the construction of both more simple and stable flows. Finally, we design FOLDFLOW-SFM coupling both Riemannian OT and simulation-free training to learn stochastic continuous-time dynamics over SE(3). Our family of FOLDFLOW generative models offers several key advantages over previous approaches to the generative modeling of proteins: they are more stable and faster to train than diffusion-based approaches, and our models enjoy the ability to map any invariant source distribution to any invariant target distribution over SE(3). Empirically, we validate FOLDFLOW on protein backbone generation of up to 300 amino acids leading to high-quality designable, diverse, and novel samples.",,,Confident,"Canada,Canada,Canada,Canada,United Kingdom of Great Britain and Northern Ireland",,,,,,"Academia,Academia,Industry,Academia,Academia",,,,,3176.776258121856,Hardware
GraphBP,Biology,Drug discovery,"Texas A&M,Fujitsu","Meng Liu, Youzhi Luo, Kanji Uchino, Koji Maruhashi, Shuiwang Ji",2022-04-19,Generating 3D Molecules for Target Protein Binding,https://arxiv.org/abs/2204.09410,159.0,,,,,,,,,15000001.000000004,"500,000 complexes × 30 atoms/complex = 15,000,000 total data points (1.5e7)",,,,,,,,,,,Speculative,"United States of America,Japan",,,,,,"Academia,Industry",,,,,,
ProteinReDiff,Biology,Protein design,"FPT Software AI Center,University of Chicago,Indiana State University","Viet Thanh Duy Nguyen, Nhan D. Nguyen,  Truong Son Hy",2024-06-12,Complex-based Ligand-Binding Proteins Redesign by Equivariant Diffusion-based Generative Models,https://www.biorxiv.org/content/10.1101/2024.04.17.589997v3.abstract,2.0,,,,,,,,,8640001.000000004,"Total Samples: 9,430 (PDBBind) + 15,261 (CATH) = 24,691 samples
Tokens per Sample: 300 (protein) + 50 (SMILES) = 350 tokens
Total Data Points: 24,691 × 350 = 8,641,850",100.0,,,,,,,"Proteins, serving as the fundamental architects of biological processes, interact with ligands to perform a myriad of functions essential for life. Designing functional ligand-binding proteins is pivotal for advancing drug development and enhancing therapeutic efficacy. In this study, we introduce ProteinReDiff, an efficient computational framework targeting the redesign of ligand-binding proteins. Using equivariant diffusion-based generative models, ProteinReDiff enables the creation of high-affinity ligand-binding proteins without the need for detailed structural information, leveraging instead the potential of initial protein sequences and ligand SMILES strings. Our evaluations across sequence diversity, structural preservation, and ligand binding affinity underscore ProteinReDiff’s potential to advance computational drug discovery and protein engineering. Our source code is publicly available at https: //github.com/HySonLab/Protein_Redesign.",Open weights (unrestricted),,Confident,"Vietnam,United States of America,United States of America",,,,,,"Industry,Academia",Open source,"MIT license for weights, training and inference code
https://github.com/HySonLab/Protein_Redesign",,,,
