Risk,Alternate Name,Lay Language,Revised
Hyperkeratosis,,"Thickening of the skin, nails.",2/10/2015 17:30
Hypermagnesemia,,Increased blood magnesium level which may indicate that follow up with a doctor is required,2/10/2015 17:30
Hypernatremia,,High blood sodium level,2/10/2015 17:30
Hyperpigmentation,,Darkening of the skin,2/10/2015 17:30
Hyperpyrexia,,"High body temperature, a fever.",2/10/2015 17:30
Hypertension,,High blood pressure,2/10/2015 17:30
Hyperthyroidism,,"May cause weight loss, rapid heartbeat, sweating, trouble with heat, nervousness. May require medical intervention to resolve symptoms.",2/10/2015 17:30
Hypertriglyceridemia,,Increased blood level of a form of fat called triglyceride,2/10/2015 17:30
Hyperuricemia,,"Excess amount of uric acid in the blood, (gout), which can cause pain in the joints as well as decrease kidney function.",2/10/2015 17:30
Hypo-parathyroidism,,"Decreased production of the hormone responsible for regulating bone minerals. May cause convulsions and tetany, wheezing, muscle cramps &amp; blurred vision due to cataracts.",2/10/2015 17:30
Hypoalbuminemia,,Low levels of a blood protein called albumin. This can cause generalized swelling (edema).,2/10/2015 17:30
Hypocalcemia,,"Decreased blood calcium level that usually does not cause any symptoms but when severe can cause muscle twitching and/or contractions, abnormal heartbeat or seizures.",5/12/2016 15:04
Hypoglycemia,Low blood sugar,"Abnormal decrease in sugar in the blood, which can cause weakness, fatigue, and if severe, can cause loss of consciousness.",2/19/2015 14:05
Hypokalemia,Low Potassium,"Low levels of potassium in the blood, which can cause an abnormal heart rate. This could cause an irregular heartbeat, which can be serious and life threatening.",5/12/2016 15:05
Hypomagnesemia,,Low levels of magnesium in the blood (Hypomagnesemia) which could cause weakness and muscle cramping. Rarely heart rhythm abnormalities may occur. To treat this you may need to get either oral or intravenous magnesium to replace these levels.,2/10/2015 17:30
Hypomagnesium,,"Low levels of magnesium in the blood, which could cause weakness and muscle cramping",2/10/2015 17:30
Hyponatremia,,"Decreased levels of sodium in the blood, which can cause confusion, seizures, fatigue and low levels of consciousness.",2/10/2015 17:30
Hypophosphatemia,,"Low phosphate, which may result in muscle weakness, bone pain, confusion and muscle breakdown",2/10/2015 17:30
hypopigmentation,vitiligo,Patches of the skin turn lighter than the surrounding skin,2/10/2015 17:30
hypoplasia,decreased breast volume,Decreased size of breast tissue,2/27/2015 14:29
Hypotension,,"Low blood pressure, which may cause dizziness, lightheadedness or fainting.",2/10/2015 17:30
Hypothermia,,Abnormally low body temperature,2/10/2015 17:30
Hypoxia,,"Low oxygen level, which may cause shortness of breath, confusion or drowsiness",2/10/2015 17:30
idioventricular rhythm,,Irregular heartbeat,5/12/2016 15:05
Immune-Related Side Effects,Immunotherapy Side Effects,"Immune-related side effects that have been seen in participants treated with immunotherapy?s including:?Inflammation of the eyes that can cause eye redness, eye pain, light sensitivity, blurred vision, decreased vision or floating spots in your vision?Inflammation of the pituitary gland that may cause low blood sugar, dehydration, weakness, or dizziness?Overactive thyroid gland activity that may lead to feeling tired, weakness, muscle aches, anxiety, weight loss, or intolerance to heat?Inflammation of the liver that may cause nausea, feeling tired, abdominal pain, a yellowish hue to your skin or eyes, or darkness of your urine?Inflammation of the pancreas that may cause high levels of an enzyme in the blood called lipase; this may be accompanied by nausea, vomiting and abdominal pain",3/2/2016 9:51
"incontinence, anal",,Loss of bowel control,2/10/2015 17:30
"Incontinence, urinary",,Inability to hold urine in the bladder,2/10/2015 17:30
Induration,,Hardening,2/10/2015 17:30
Induration,Fibrosis,Hardening of the skin and connective tissues,2/27/2015 14:29
infarct,,Death of tissue because of lack of blood supply,2/10/2015 17:30
Infection,,"A low number of white blood cells may increase the risk of infection.  It may become life-threatening.  Symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 14:51
infertility,,Inability to have children,2/27/2015 14:40
Inflammation,,"Swelling which is generally painful, red, and warm",2/10/2015 17:30
inflammation of the brain,,"Inflammation of the brain, which may cause neurological damage including confusion, hallucinations, difficulty walking or using arms",2/10/2015 17:30
Inflammation of the kidney,Inflammation of the kidney,"Inflammation of the kidney which may cause you to pass less urine, have cloudy urine, have blood in your urine, have swelling and lower back pain.",12/8/2015 8:39
Inflammation of the large intestine,,Inflammation of the large intestine which may cause stomach pain with loose or watery stools.,12/7/2015 15:07
Inflammation of the liver - Viral Reaction,Inflammation of the liver,"Inflammation of the liver due to reactivation of a virus which may cause you to feel not hungry, tired, have a mild fever, muscle or joint aches, nausea and vomiting, and stomach pain.  This may be serious or life-threatening.",5/26/2016 11:25
Inflammation of the lungs,inflammation of the lungs,Inflammation of the lungs which may cause shortness of breath and cough.,12/8/2015 8:22
Inflammation of the pituitary gland,Inflammation of the pituitary gland,"Inflammation of the pituitary gland which may cause headaches, change in eyesight, few to no menstrual cycles (for women), increased thirst, and increased frequency passing urine.",12/8/2015 8:34
Infusion Reaction,Allergic Reaction,"Infusion reaction, including dizziness or fainting (low blood pressure), flushing, rash, fever, shortness of breath or sick to your stomach, or pain at the site of infusion.  Although usually reversible with treatment, it can be severe or life threatening.",5/26/2016 11:23
Injection Site Reaction - Major,Possible Allergic Reaction,"A reaction at the site where an injection (shot) was given, which may cause some redness and swelling.  Notify your clinical team if you see this happen to you.",5/26/2016 11:05
Injection Site Reaction - Minor,Minor Reaction,"A reaction at the site where an injection (shot) was given, which may cause some redness and swelling.",5/26/2016 11:04
Insomnia,,Difficulty sleeping or falling asleep; unable to sleep,2/10/2015 17:30
internal hemorrhage,,Bleeding internally which may require hospitalization and surgery,2/10/2015 17:30
Intestinal Obstruction,"GI blockage, Gastrointestinal blockage","Blockage of the intestine or bowel which can cause nausea, vomiting, and abdominal pain. It may be serious or life-threatening and may require hospitalization and surgery.",5/26/2016 11:29
intra-operative or postoperative hemorrhage,bleeding associated with surgery,Abnormal bleeding during or after an operation,2/27/2015 14:28
iron overload,,Organ failure that results from excessive accumulation of iron in the body.,2/10/2015 17:30
Irregular menses,,Irregular menstrual periods,2/10/2015 17:30
Ischemia,,Decreased oxygen in a tissue (usually because of decreased blood flow),2/10/2015 17:30
IVC,,Damage to large blood vessel that carries blood to the heart,2/10/2015 17:30
Joint-effusion,,Fluid in joint,2/10/2015 17:30
jugular - vessel injury-vein,,Damage to a blood vessel in the neck,2/10/2015 17:30
keratitis,,"Inflammation of the cornea of the eye. Eye pain, tearing and sensitivity to light are common symptoms.",2/10/2015 17:30
Kidney Cysts,Cyst,Kidney Cysts,5/26/2016 11:13
kidney failure,renal failure,"Kidney failure, which is when both of your kidneys fail and your body holds fluid which can be serious or life threatening. Your blood pressure rises and harmful wastes build up in your body. You may experience fatigue, nausea, and loss of appetite. When this happens, you need treatment to replace the work of your failed kidneys such as dialysis.",2/10/2015 17:30
lactation problem,breast function problem,Change in ability to produce milk from breasts,2/27/2015 13:47
large blood vessel injury-vein,,Damage to large blood vessel that carries blood into the heart,2/10/2015 17:30
laryngeal nerve dysfunction,,Vocal cord damage or paralysis,2/10/2015 17:30
larynx edema,swollen larynx,Swelling of the voice box,2/27/2015 14:24
Latent Diabetes Mellitus,,A mild form of diabetes in which there are no obvious symptoms,2/10/2015 17:30
Left ventricular diastolic dysfunction,,Decrease in heart's ability to pump blood. This may be serious or life threatening.,2/10/2015 17:30
Left ventricular systolic dysfunction,,Decrease in heart's ability to pump blood. This may be serious or life threatening.,2/10/2015 17:30
lethargy,,Sleepiness,2/10/2015 17:30
Leukocytes decreased,Total WBC decreased,"Decreased total number of white blood cells. This increases the risk of infection, which may be serious or life threatening.",2/27/2015 13:47
Leukopenia,,"Condition in which the number of white blood cells circulating in the blood is abnormally low. This increases the risk of infection, which may be serious or life threatening.",5/23/2016 15:21
libido decrease,,Decrease in sexual desire or drive,2/10/2015 17:30
limb length discrepancy,,Difference in arm or leg length,2/10/2015 17:30
limited lumbar spine range of motion,,Stiff lower back,2/27/2015 13:50
liver damage,hepatic damage,"Liver damage which can cause fatigue, and jaundice (yellowing of the skin and eyes). Although this is usually mild and reversible, this can be serious or life threatening and may require hospitalization and surgery.",2/27/2015 13:48
Liver failure,hepatic failure,"Liver problems or failure which can cause fatigue, and jaundice (yellowing of the skin and eyes). Although this is usually mild and reversible, this can be serious or life threatening and may require hospitalization and surgery.",2/10/2015 17:30
low thyroid function,hypothyroidism,"May cause fatigue, weight gain, fluid retention, sensitivity to cold &amp; mental apathy. Can be serious or life threatening.",2/10/2015 17:30
Low white blood cell count,"Low WBC, weakened immune system","Condition in which the number of white blood cells circulating in the blood is abnormally low. This increases the risk of infection, which may be serious or life threatening.",2/27/2015 13:49
Lymphedema-related fibrosis,,Tissue scarring from long-term lymph flow blockage,2/10/2015 17:30
Lymphocele,,An abnormal collection of lymph fluid,2/10/2015 17:30
Lymphoma,Secondary Cancer,"The study treatment may cause you to develop another type of cancer such as Lymphoma,  a cancer of the lymph nodes (or tissues).  This usually occurs years after treatment for the first cancer.",5/23/2016 13:53
Lymphopenia,,Decreased number of a type of white blood cells. This is associated with an increased risk of infection.,2/10/2015 17:30
Malabsorption,,Poor absorption of food,2/10/2015 17:30
malaise,,"A vague feeling of bodily discomfort, feeling bad",2/10/2015 17:30
Masculinization of female,,The development of male physical characteristics in females,2/10/2015 17:30
Memory impairment,,Memory impairment,2/10/2015 17:30
Meningitis,Brain and Spinal Cord Infection,"The study treatment may cause an increased risk of infection, such as Meningitis, an infection of the connective tissue surrounding the brain and spinal cord that occurs when the white blood cell count is low.  An infection may occur anywhere and it may become life-threatening.  A low number of white blood cells may increase the risk of infection.  General symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 15:31
Mental status,,Changes in mental status,2/10/2015 17:30
metabolic acidosis,hyperchloremia nonanion gap,There is a build up of acid in the body. This can lead to a decreased function in a number of organs. This can be serious and life threatening.,2/10/2015 17:30
Microangiopathic hemolytic anemia,MAHA,"Microangiopathic hemolytic anemia (MAHA) is a subtype of hemolytic anemia which is the abnormal breakdown of red blood cells. Some of the signs and symptoms of MAHA incude high fever, rash, severe thrombocytopenia, severe anemia, and high blood bilirubin levels.",2/10/2015 17:30
microangiopathic hemolytic anemia with thrombocytopenia,MAHA,"Microangiopathic hemolytic anemia (MAHA) is a subtype of hemolytic anemia which is the abnormal breakdown of red blood cells. Some of the signs and symptoms of MAHA incude high fever, rash, severe thrombocytopenia, severe anemia, and high blood bilirubin levels.",2/10/2015 17:30
migraine,,Persistant headache,2/10/2015 17:30
mucositis,stomatits,"Sores in the mouth and esophagus, which may be painful and cause difficulty swallowing.",2/27/2015 13:42
muscularskeletal hypoplasia,,Irregular development of muscle or bone,2/27/2015 14:25
myalgia,muscle pain,"Muscle spasams, body aches",5/26/2016 13:30
Myelitis,Spinal Cord Infection,"The study treatment may cause an increased risk of infection, such as an infection of the spinal cord, which may cause numbness or muscle weakness.  An infection may occur anywhere and it may become life-threatening.  A low number of white blood cells may increase the risk of infection.  General symptoms of an infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 15:21
myelodysplasia,,Decreased ability of bone marrow to make blood cells.,2/10/2015 17:30
Myocardial infarction (MI),"MI, Heart Attack",Decreased blood flow to part of the heart causing damage to the heart muscle.  This may be serious or life threatening.,5/23/2016 13:36
Myocarditis,Heart Infection,"Inflammation of the heart muscle, usually caused by infection. May be serious and require hospitalization.",5/23/2016 15:28
Myositis,,Muscle inflammation,2/10/2015 17:30
Myositis,Muscle Infection,"The study treatment may cause an increased risk of infection, such as myositis (an infection of the muscle).  A low number of white blood cells may increase the risk of infection.  It may become life-threatening.  Symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 15:19
nail disorder,,"Changes in color and thickness, darkening of the nail bed, thickening, shedding",2/10/2015 17:30
nasal congestion,,Stuffy nose,2/10/2015 17:30
nasal septum perforation,,Cartilage separating the nostrils may develop a hole,2/10/2015 17:30
nausea,,Feeling sick to the stomach,2/10/2015 17:30
necrosis,,Death of tissue,2/10/2015 17:30
Necrosis - GI,,Death of tissue in the gastrointestinal tract which may require hospitalization and surgery,2/10/2015 17:30
Neuroblastoma,Secondary Cancer,"The study treatment may cause you to develop another type of cancer such as Neuroblastoma,  a cancer of the nerve tissue.  This usually occurs years after treatment for the first cancer.",5/23/2016 14:01
neurologic deficits,,"A neurologic deficit is a decrease in the function of the brain, spinal cord, muscles, and/or nerves. Neurologic deficits include inability to speak, decreased sensation, loss of balance, weakness, dificulty thinking, visual changes, abnormal reflexes, and problems walking.",2/10/2015 17:30
neuropathy,general neuropathy,"A condition affecting the nerves supplying the arms and legs. Typically, the feet and hands are involved first. If sensory nerves are involved, numbness, tingling, and pain are felt, and if motor nerves are involved you will experience weakness.",2/10/2015 17:30
neuropathy: motor,,Weakness or loss of muscle function caused by damage to nerves,2/10/2015 17:30
neuropathy: sensory,,"Condition of the nervous system that causes numbness, tingling, burning.",2/10/2015 17:30
Neutropenia,infection,"Condition in which the number of white blood cells called neutrophils are abnormally low. This increases the risk of infection, which may be serious or life threatening.  Symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 14:54
Neutrophils / Granulocytes,"ANC, AGC","Decreased number of a specific type of white blood cells. This increases the risk of infection, which may be serious or life threatening.  Symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 14:54
nodal / junctional,,Irregular heartbeat,5/12/2016 15:05
Nosocomial,Hospital acquired infection,"The study treatment may cause an increased risk of infection. An infection may occur anywhere and it may become life-threatening. A low number of white blood cells may increase the risk of infection.  Symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 15:19
nyctalopia,,Night blindness,2/10/2015 17:30
nystagmus,,"Rapid, jerky movements of the eye",2/10/2015 17:30
obesity,,Significantly more body fat than normal.,2/10/2015 17:30
ocular surface disease,,Damage to the surface of the eye,2/10/2015 17:30
ophthalmoplegia diplopia,diplopia,Double vision,2/10/2015 17:30
Opportunistic infection with lymphopenia,Infection,"The study treatment may cause an increased risk of an opportunistic infection (an infection caused by an organism that usually does not cause illness, but does so when the immune response or resistance to infection is impaired).  A low number of white blood cells (lymphopenia) may increase the risk of infection.  It may become life-threatening.  Symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 15:00
Opportunistic infections,Infection,"An infection caused by an organism that usually does not cause illness, but does so when a person   s immune response (resistance) to infection is impaired. A low number of white blood cells may increase the risk of infection.  Symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 15:01
optic disc edema,,Swelling of the nerve in the back of the eye which is responsible for vision,2/10/2015 17:30
Oral Thrush,Infection,"Fungal infection in the mouth  The study treatment may cause an increased risk of infection, such as oral thrush (a fungal infection in the mouth).  A low number of white blood cells may increase the risk of infection.  It may become life-threatening.  Symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 15:03
ostealgia,,Bone pain,2/10/2015 17:30
Osteomyelitis,Infection,"The study treatment may cause an increased risk of infection, such as osteomyelitis (an infection of the bone).  A low number of white blood cells may increase the risk of infection.  It may become life-threatening.  Symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 15:04
osteopetrosis,,Rare bone disorder characterized by dense bone,2/10/2015 17:30
osteoporosis,,Bone disorder characterized by loss of bone leading to increased risk of fracture,2/10/2015 17:30
Otitis Externa,Outer Ear Infection,"The study treatment may cause an increased risk of an outer ear infection.  A low number of white blood cells may increase the risk of infection.  It may become life-threatening.  Symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 15:22
Otitis Media,Middle Ear Infection,"The study treatment may cause an increased risk of an middle ear infection.  A low number of white blood cells may increase the risk of infection.  It may become life-threatening.  Symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 15:21
"Otitis, external ear (non-infectious)",,Inflammation of the ear canal,2/10/2015 17:30
"otitis, middle ear (non-infectious)",,"Fluid in the middle ear that can cause pain, general hearing loss, fever, irritability, headache, anorexia &amp; vomiting.",2/10/2015 17:30
ovarian cysts,,Fluid-filled lump in the ovary,2/10/2015 17:30
Pain,,Pain,5/23/2016 12:58
Palm and sole reaction,hand and foot reaction,"Redness, pain or peeling of palms and soles.",5/26/2016 13:36
palpitations,,Fast and hard heartbeat,5/12/2016 15:05
"pancreas, exocrine enzyme deficiency",,Decrease in enzymes from the pancreas that help digest food,2/10/2015 17:30
Pancreatitis,inflammation of the pancreas,"Inflammation of the pancreas causing pain in the upper abdomen. This could become severe and cause nausea and vomiting, fever and rapid heart rate. This could require hospitalization and may be life threatening.",2/20/2015 14:19
Pancytopenia,,"Abnormal decrease in the levels of all type of blood cells. This is associated with anemia, decreased platelets, and decreased white blood cells. This can lead to fatigue, increased risk of bleeding, and/or increased risk of infection. This may be serious or life threatening.",5/23/2016 15:07
paranasal sinus reactions,nasal cavity reactions,Abnormal reactions in the nose and sinuses,2/27/2015 14:25
Paroxysmal Atrial Tachycardia,atrial tachycardia,Irregular fast heartbeat,5/12/2016 15:06
pericardial effusion,"cardiac effusion, non-malignant pericardial effusion",Collection of fluid around the heart which may cause a life threatening condition where the heart is unable to pump correctly due to the external pressure. This may require medical intervention to drain the fluid and remove the pressure.,2/10/2015 17:30
pericarditis,,"Inflammation of the sac around the heart. May manifest as chest pain that varies with each breath. Pain often increases when lying down and decreases upon sitting up. Fever, cough, and palpitations are common as well. This may be serious and require medical intervention.",2/10/2015 17:30
Periodontal disease,,Gum disease,2/10/2015 17:30
peripheral arterial ischemia,,Disorder of arteries causing inadequate blood supply to extremities.,2/10/2015 17:30
Peristomal,Infection,"The study treatment may cause an increased risk of an infection around an ostomy site or surgical opening into the skin.  A low number of white blood cells may increase the risk of infection.  It may become life-threatening.  Symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 15:09
Petechiae,purpura,Very small broken blood vessels in skin or lining of the mouth which may result in bleeding,2/20/2015 14:20
phantom pain,pain associated with missing limb,Painful feeling of arm or leg that has been amputated,2/27/2015 13:26
phlebitis,,Irritation or inflammation of a vein,2/10/2015 17:30
phlebolymphatic cording,,Lumps and clots in the lymph vessels that drain through lymph nodes,2/10/2015 17:30
photosensitivity,,Increased sensitivity to sunlight,2/10/2015 17:30
phrenic nerve dysfunction,,Impaired movement of the muscle between the chest and belly caused by damage to the nerve controlling that muscle.,2/10/2015 17:30
Pink Urine,,Pink Urine,5/23/2016 12:58
platelet count decreased,,Decreased number of blood cells that help to clot blood. This is associated with an increased risk of bleeding.,2/10/2015 17:30
Pleura Empyema,Infection,"The study treatment may cause an increased risk of an infection of the membranes that line the chest cavity and cover the lungs,  An infection may occur anywhere and it may become life-threatening. A low number of white blood cells may increase the risk of infection.  Symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 15:12
pleural effusion,,"Collection of fluid around the lungs in the chest cavity, which can cause shortness of breath and may require treatment.",2/10/2015 17:30
Pneumocystis Pneumonia,Lung Infection,Pneumocystis pneumonia is a lung infection that can occur in the setting of a suppressed immune system as a result of treatment with chemotherapy or steroids. This may cause shortness of breath and decreased oxygen levels and could be life threatening.,5/23/2016 15:22
Pneumonia,Lung Infection,"The study treatment may cause an increased risk of infection, such as pneumonia (a infection of the lungs).  A low number of white blood cells may increase the risk of infection.  It may become life-threatening.  Symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 15:22
pneumonitis,pulmonary infiltrates,"Inflammation of the lungs, which can cause shortness of breath and difficulty breathing. If severe, this can be life threatening.",2/20/2015 14:48
pneumonitis,Interstitial pneumonitis,"Inflammation of the lungs, which can cause shortness of breath and difficulty breathing. If severe, this can be life threatening.",2/27/2015 14:30
pneumothorax,,Collection of air outside the lungs in the space surrounding the lungs. May require lung re-inflation with a chest tube.,2/10/2015 17:30
portal vein flow,,"Problems with blood flow from the digestive tract, the spleen, pancreas, and gall-bladder to the liver",2/10/2015 17:30
precordial pain,,Chest pain,2/10/2015 17:30
Premature Ovarian Failure,,Loss of function of the ovaries that can lead to menopause,2/11/2015 16:03
Proctitis,,Inflammation of the lining of the rectum,2/10/2015 17:30
Progressive Multifocal Leukoencephalopathy,"PML, leukoencphalopathy, Viral Brain Infection","A rare and severe viral infection of the brain, called PML which can cause brain damage, memory loss, trouble thinking, muscle weakness, blindness and death. Notify your study doctor immediately if you develop trouble thinking or walking, a decrease in strength in you arms or legs, or changes in your vision or hearing.  This is a serious and life-threatening infection.",5/26/2016 11:27
Prolactin hormone secretion abnormality,,Abnormal production of prolactin. Low levels of prolactin in females can result in the inability to produce breast milk.,2/10/2015 17:30
prolapse of stoma,GI prolapse,Irregular protrusion of tissue through the opening of an ostomy,2/27/2015 14:31
prolonged QTc interval,,Abnormal electrical conduction within the heart which may lead to arrhythmias or irregular heartbeat.,2/10/2015 17:30
proptosis,enophthalmos,When the eye sticks out further than normal position; sunken eyeball,2/27/2015 14:32
proteinuria,,Excess protein in the urine. This may cause fluid retention.,2/10/2015 17:30
pruritis,,Itchy skin,2/10/2015 17:30
psychosis,,Hallucinations; delusions,2/10/2015 17:30
Puberty (precocious),,Early onset of puberty,2/10/2015 17:30
pulmonary embolism,"plmonary emboli, pulmonary embolus","A blood clot that causes a sudden blockage in a lung blood vessel, usually due to a blood clot that traveled to the lung from the leg. A pulmonary embolism is a serious condition that can cause: Permanent damage to part of your lung from lack of blood flow to lung tissue; Low oxygen levels in your blood; Damage to other organs in your body from not getting enough oxygen; If a clot is large, or if there are many clots, a pulmonary embolism can cause death.",3/6/2015 12:50
Pulmonary fibrosis,,"Tissue in the lungs becomes stiff making breathing difficult, resulting in shortness of breath, and if severe, can cause heart failure.",2/10/2015 17:30
Pulmonary fibrosis,Pulmonary fibrosis - radiographic changes,Scarring of the lungs that can affect your ability to breath and may make you short of breath.  This may be serious or life threatening.,5/23/2016 13:01
pulmonary hypertension,,"Abnormally high blood pressure in the blood vessels in the lungs, which makes it harder to pump blood into the lungs. May cause fatigue, shortness of breath, chest pain, and ankle swelling. Can lead to loss of consciousness and could be serious and life threatening.",2/10/2015 17:30
PVCs,,Irregular heartbeat,5/12/2016 15:06
pyramidal tract dysfunction,,Abnormal function of nerves in the brain and spine which control muscles of voluntary movement,2/10/2015 17:30
Radiation Recall Syndrome,,"Skin reaction that develops when chemotherapy is administered during or after radiation treatment, characterized by one or more of symptoms of redness, tenderness, swelling, peeling, pain and discoloration, that can be severe or disfiguring.",2/10/2015 17:30
Rash: acne / acneiform,,Acne; pimples,2/10/2015 17:30
Raynaud's Disease,"Raynaud's Phenomenon, Raynaud's Syndrome","An autoimmune disorder causing blood vessels to spasm when exposed to cold. This occurs especially in the fingers and toes causing them to turn red, pale, and then blue in succession and is usually painful. If this becomes severe, it can progress to local tissue death.",2/19/2015 13:47
reduction in growth velocity,,Stunted growth,2/10/2015 17:30
renal failure,kidney failure,"Kidney failure which is when both of your kidneys fail and your body holds fluid which can be serious or life threatening. Your blood pressure rises and harmful wastes build up in your body. You may experience fatigue, nausea, and loss of appetite. When this happens, you need treatment to replace the work of your failed kidneys such as dialysis.",2/10/2015 17:30
respiratory failure,,"Difficulty breathing with low levels of oxygen in the blood, which could be serious and life threatening and require you to have a tube inserted into your windpipe that is hooked up to a machine to help you breathe.",2/10/2015 17:30
Restlessness and Irritability,,"Restlessness, irritability",5/26/2016 13:50
restrictive cardiomyopathy,,Decrease in heart's ability to pump blood. This may be serious or life threatening.,2/10/2015 17:30
retinal detachment,,Separation of the retina from its connection at the back of the eye. May require surgical repair/treatment.,2/10/2015 17:30
retinoic acid syndrome,RAS,"A group of signs and symptoms that may be caused by retinoic acid and may include fever, chest pain, shortness of breath, chest x- ray abnormalities, fluid buildup around the heart, and decreased ability of the lung to absorb oxygen.",2/10/2015 17:30
retinopathy,,Damage to the eye that decreases vision,2/10/2015 17:30
Reversible Posterior Leukoencephalopathy Syndrome,RPLS,"A rare reversible risk of confusion, visual loss, seizures and coma that can happen in association with very high blood pressure.",2/10/2015 17:30
rhabdomyolysis,,"Rhabdomyolysis is a breakdown of muscle fibers. It occurs when muscle cells die and release cell contents into the blood stream. It can cause muscle pain and a number of health problems, including damage to the kidneys. If severe, this could be life threatening.",2/10/2015 17:30
Right ventricular dysfunction (cor pulmonale),,Decrease in heart's ability to pump blood. This may be serious or life threatening.,2/10/2015 17:30
rigors,chills,Chills and shivering,2/10/2015 17:30
scleral necrosis / melt,,Destruction of the white of the eye.,2/10/2015 17:30
Secondary Malignancy,Secondary Cancer,A second cancer related to the treatment of your first cancer.  This usually occurs years after treatment for the first cancer.,5/23/2016 13:50
seizure,,Convulsion or seizure,2/10/2015 17:30
Sepsis,,"A serious condition that occurs in response to an infection that causes widespread inflammation, resulting in poor blood supply to vital organs (Sepsis). Symptoms may include a fast heart rate, fever, confusion and rapid breathing. Sepsis can rapidly lead to a life threatening clinical deterioration.",5/23/2016 15:16
Septic shock,,"A serious condition that occurs in response to an infection that causes widespread inflammation, resulting in poor blood supply to vital organs (Sepsis). Symptoms may include a fast heart rate, fever, confusion and rapid breathing. Sepsis can rapidly lead to a life threatening clinical deterioration.",5/23/2016 15:16
Septicemia,,"A serious condition that occurs in response to an infection that causes widespread inflammation, resulting in poor blood supply to vital organs (Sepsis). Symptoms may include a fast heart rate, fever, confusion and rapid breathing. Sepsis can rapidly lead to a life threatening clinical deterioration.",5/23/2016 15:16
seroma,,Abnormal fluid collection in a tissue or organ,2/10/2015 17:30
serum sickness,,"Allergic reaction that causes fever, aches and pains in the joints, skin rash and swollen lymph glands.",2/10/2015 17:30
shock,,When you are unable to maintain enough blood pressure to keep enough blood delivered to your organs. Shock is a life threatening condition that may require hospitalization.,2/10/2015 17:30
Sick Sinus Syndrome,,Irregular heartbeat,2/10/2015 17:30
sinus arrhythmia,,Irregular heartbeat,5/12/2016 15:06
sinus bradycardia,,"Slow heart rate which can cause dizziness, fainting and tiredness.",2/10/2015 17:30
Sinus Tachycardia,,Fast heartbeat,5/12/2016 15:07
Sinusitis,"Infection, Sinus Infection","The study treatment may cause an increased risk of infection, such as a sinus infection.  An infection may occur anywhere and it may become life-threatening. A low number of white blood cells may increase the risk of infection.  Symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 15:17
skin hypersensitivity,,Allergic skin reaction,2/10/2015 17:30
soft tissue necrosis,,Death of tissue,2/10/2015 17:30
somnolence,depressed level of consciousness,Sleepiness,2/19/2015 13:55
speech impairment,,Speech problems,2/10/2015 17:30
spine kyphosis / lordosis,,Abnormal curvature of the spine,2/10/2015 17:30
Splenic function,,Decreased spleen function (possible infection and/or blood abnormality),5/23/2016 15:17
stenosis,,"Narrowing of a duct, tube, or one of the heart valves",2/10/2015 17:30
Sterility,,Inability to have children,2/27/2015 14:40
Stevens-Johnson Syndrome,"SJS, Toxic Epidermal Necrolysis, erythema multiforme, Stevens Johnson Syndrome","Severe skin and digestive tract reaction that may include rash and sloughing or breakdown of tissue. This may manifest as various blisters, hives, and other lesions in various locations on the body including palms and soles, face &amp; other extremities. This is serious and may be life threatening.",2/27/2015 14:56
Stokes-Adams Syndrome,,Loss of consciousness caused by a decreased flow of blood to the brain. Can be caused by passing interference to the normal output of the heart. May be serious and/or life threatening and require medical intervention.,2/10/2015 17:30
stomatitis,mucositis,"Sores in the mouth and esophagus, which may be painful and cause difficulty swallowing.",2/27/2015 13:43
Striae,,Pink or purple stretch marks on the skin,2/27/2015 14:41
stupor,,Stunned state in which it is difficult to get a response or the attention of the subject,2/10/2015 17:30
Sudden Death,,Sudden Death,5/26/2016 13:56
Supraventricular arrhythmia,,Irregular heartbeat,5/12/2016 15:07
supraventricular extrasystoles,Premature Atrial Contractions,Extra heartbeats,2/19/2015 13:54
Supraventricular tachycardia,,Irregular heartbeat,5/12/2016 15:07
Swelling,,"Swelling of the face, fingers and lower legs",5/26/2016 13:51
syncope,,Fainting,2/10/2015 17:30
telangiectasia,,"Enlargement of small blood vessels near the surface of the skin, causing redness of the skin or lining of the nose or mouth",2/10/2015 17:30
