question,gold,category
"45세 남성이 8시간 전부터 시작된 심한 상복부 통증으로 응급실에 내원하였다. 통증은 갑자기 시작되었고 등으로 방사되며, 식사와 무관하게 지속된다고 한다. 환자는 평소 음주량이 소주 1병/일로 10년 이상 지속되었으며, 과거에도 유사한 복통으로 입원한 적이 있다고 한다. 신체검사에서 상복부에 심한 압통이 있고 복부 강직(rigidity)이 관찰된다. 활력징후는 혈압 100/60 mmHg, 맥박 120회/분, 호흡수 24회/분, 체온 38.5°C이다. 이 환자에게 가장 적절한 초기 치료는?

말초혈액검사: 백혈구 18,000/mm³, 혈색소 14.5 g/dL, 혈소판 280,000/mm³
혈청 생화학검사: 아밀라아제 1,500 U/L, 리파아제 3,000 U/L, AST 45 IU/L, ALT 40 IU/L, 총 빌리루빈 1.2 mg/dL, ALP 110 IU/L, 칼슘 7.8 mg/dL, BUN 40 mg/dL, 크레아티닌 1.6 mg/dL, CRP 15 mg/dL
동맥혈 가스분석: pH 7.32, PaO2 85 mmHg, PaCO2 30 mmHg, HCO3 15 mEq/L, 염기결핍 -10 mEq/L
복부 CT: 췌장 전체의 부종과 주변 지방 조직의 염증, 복수가 관찰되며 다량의 자유 공기(free air)가 보이지 않음

A. 금식, 적극적인 수액 요법, 진통제 투여
B. 내시경적 역행성 담췌관 조영술(ERCP)과 괄약근 절개술 시행
C. 응급 개복술 시행
D. 경피적 담낭 배액술 시행
E. 항생제 투여 없이 대증적 치료만 시행",A,Gastroenterology
"35세 여성이 2일 전부터 시작된 우상복부 통증으로 내원하였다. 통증은 식후에 심해지고 등으로 방사되며, 오심과 구토가 동반되었다. 환자는 최근 체중 감소를 위해 저지방 고탄수화물 식이를 시작했으며, 과거 출산력은 3회이다. 신체검사에서 우상복부에 압통이 있고 머피 징후(Murphy's sign)가 양성이다. 활력징후는 혈압 130/80 mmHg, 맥박 95회/분, 호흡수 18회/분, 체온 38.3°C이다. 이 환자의 치료 계획으로 가장 적절한 것은?

말초혈액검사: 백혈구 15,000/mm³ (호중구 80%), 혈색소 13.5 g/dL, 혈소판 270,000/mm³
혈청 생화학검사: AST 45 IU/L, ALT 50 IU/L, 총 빌리루빈 1.2 mg/dL, 직접 빌리루빈 0.3 mg/dL, ALP 130 IU/L, GGT 100 IU/L, 아밀라아제 70 U/L, 리파아제 40 U/L, CRP 8 mg/dL. 복부 초음파 검사에서 담낭벽이 두꺼워져 있고(8mm) 담낭 주위에 체액 저류가 관찰되며, 담낭 내에 여러 개의 결석이 보인다. 담관 확장은 없다.

A. 즉시 내시경적 역행성 담췌관 조영술(ERCP)을 시행한다.
B. 금식, 수액 요법 및 항생제 투여 후 전신 상태가 안정되면 입원 중 복강경 담낭 절제술을 시행한다.
C. 금식, 수액 요법 및 항생제 투여 후 퇴원하여 6-8주 후 외래에서 복강경 담낭 절제술을 계획한다.
D. 경피적 담낭 배액술을 시행하고 담석 용해 치료를 시작한다.
E. 우르소데옥시콜산을 투여하여 담석의 용해를 시도한다.",B,General Surgery
"68세 남성이 3시간 전부터 시작된 갑작스러운 하복부 통증으로 응급실에 내원하였다. 환자는 통증이 점점 심해지고 있으며, 오심과 구토를 동반하고 있다. 과거력상 고혈압, 당뇨병, 고지혈증이 있으며 관상동맥질환으로 스텐트 삽입술을 받은 적이 있다. 신체 검진에서 복부는 전반적으로 팽만되어 있고, 장음은 감소되어 있으며, 하복부에 압통과 반발통이 있다. 활력 징후는 혈압 90/60 mmHg, 맥박 110회/분, 호흡수 24회/분, 체온 37.5°C이다. 말초 맥박은 약하게 촉지되고, 하지가 창백하고 차갑다.

혈액 검사에서 백혈구 10,500/μL, 헤모글로빈 13.5 g/dL, 혈소판 280,000/μL, BUN 30 mg/dL, 크레아티닌 1.8 mg/dL, 젖산 4.5 mmol/L이다. 복부 CT 영상에서 복부 대동맥이 정상 직경의 두 배 이상으로 확장되어 있으며, 주변에 혈종이 관찰된다.

A. 좌측 요관결석에 의한 요로폐색
B. 급성 대장 허혈
C. 복부 대동맥류 파열
D. 급성 충수염
E. 급성 췌장염",C,Vascular Surgery
"45세 여성이 24시간 전부터 시작된 상복부 통증으로 응급실에 내원하였다. 통증은 갑작스럽게 시작되었고 등으로 방사되며, 음식 섭취 후 악화된다고 한다. 환자는 구토와 오심을 동반하고 있으며, 최근 음주력은 없다고 한다. 과거력상 담석증으로 진단받은 적이 있으며, 고지혈증으로 약물 치료 중이다. 신체 검진에서 우상복부에 심한 압통이 있으며, Murphy 징후 양성이다. 활력 징후는 혈압 130/80 mmHg, 맥박 95회/분, 호흡수 20회/분, 체온 38.2°C이다.

혈액 검사에서 백혈구 15,000/μL, 총 빌리루빈 3.5 mg/dL, 직접 빌리루빈 2.8 mg/dL, ALT 120 U/L, AST 100 U/L, ALP 350 U/L, GGT 280 U/L, 아밀라아제 100 U/L, 리파아제 80 U/L이다. 초음파 검사에서 담낭벽 비후(8mm), 담낭 내 다수의 담석, 담낭 주변 액체 저류가 관찰되었으며, 총담관 직경은 12mm로 확장되어 있고 내부에 8mm 크기의 고에코성 병변이 관찰되었다.

A. 복부 CT 촬영 없이 즉시 응급 담낭절제술을 시행한다.
B. 자기공명담췌관조영술(MRCP)을 시행하여 담도계를 평가한다.
C. 내시경적 역행성 담췌관조영술(ERCP)과 내시경적 괄약근 절개술을 시행한다.
D. 경피적 담낭 배액술(PTGBD)을 시행한다.
E. 금식과 항생제 치료만 유지하며 경과를 관찰한다.",C,Gastroenterology
"32세 여성이 8시간 전부터 시작된 극심한 하복부 통증으로 응급실에 내원하였다. 환자는 구토, 오심, 설사를 동반하고 있으며, 최근 성관계가 있었다고 한다. 마지막 월경은 6주 전이었으며, 평소 월경주기는 불규칙하다고 한다. 과거력상 골반염 및 클라미디아 감염으로 치료받은 적이 있다. 신체 검진에서 하복부에 심한 압통과 반발통이 있으며, 자궁경부 움직임 시 통증이 있다. 활력 징후는 혈압 100/60 mmHg, 맥박 115회/분, 호흡수 22회/분, 체온 38.5°C이다.

혈액 검사에서 백혈구 16,500/μL, 헤모글로빈 12.0 g/dL, 혈소판 250,000/μL, hCG 1,500 mIU/mL이다. 질 분비물 검사에서 다형핵 백혈구 증가와 그람 음성 쌍구균이 관찰되었다. 골반 초음파에서 자궁외 정상 임신낭은 관찰되지 않았으나, 우측 난관이 확장되어 있고 주변에 적은 양의 복수가 관찰되었다.

A. 항생제 투여 후 경과 관찰
B. 즉시 응급 개복술 시행
C. 메토트렉세이트(methotrexate) 주사
D. 복강경하 골반 내 농양 배액술
E. 자궁소파술 시행",C,Obstetrics
"15세 남자 청소년이 36시간 전부터 시작된 우하복부 통증으로 응급실에 내원하였다. 통증은 처음에는 배꼽 주위에서 시작되었고, 오심, 구토, 식욕부진을 동반하였다. 환자는 발열이 있었으며, 어제부터 걸을 때 통증이 심해졌다고 한다. 신체 검진에서 우하복부 전체에 압통과 반발통이 있으며, 장음은 감소되어 있다. 활력 징후는 혈압 110/70 mmHg, 맥박 105회/분, 호흡수 20회/분, 체온 38.9°C이다. 환자는 누워있을 때 편안함을 느끼고, 무릎을 구부리고 있다.

혈액 검사에서 백혈구 18,000/μL(호중구 90%), 헤모글로빈 14.0 g/dL, 혈소판 260,000/μL, CRP 15 mg/dL이다. 복부 CT에서 충수는 12mm로 확장되어 있고, 벽이 비후되어 있으며, 주변에 액체 저류와 공기 방울이 관찰된다. 또한 충수 주변으로 5cm 크기의 경계가 명확한 액체 저류가 관찰된다.

A. 금식, 정맥 수액, 항생제 투여 후 24시간 이내 응급 충수절제술
B. 즉시 응급 충수절제술
C. 금식, 정맥 수액, 항생제, 경피적 배액술 후 6-8주 후 계획된 충수절제술
D. 24시간 경과 관찰 후 증상이 호전되면 퇴원하고 외래에서 추적 관찰
E. 내시경적 역행성 담췌관조영술(ERCP)",C,General Surgery
"28세 여성이 8시간 전부터 시작된 심한 우하복부 통증으로 응급실에 내원하였다. 통증은 갑자기 시작되었으며 점점 심해지고 있다고 한다. 환자는 오심과 구토를 동반하고 있으며, 지난 3일간 설사가 있었다고 한다. 마지막 월경은 2주 전이었으며, 성교통과 불규칙한 질 출혈이 있었다고 한다. 과거력상 1년 전 클라미디아 감염으로 치료받은 적이 있다. 신체 검진에서 우하복부에 심한 압통과 반발통이 있으며, 자궁경부 움직임 시 통증이 있다. 활력 징후는 혈압 110/70 mmHg, 맥박 100회/분, 호흡수 20회/분, 체온 38.3°C이다.

혈액 검사에서 백혈구 15,000/μL, 헤모글로빈 12.5 g/dL, 혈소판 250,000/μL, hCG 음성, CRP 12 mg/dL이다. 질 분비물 검사에서 다형핵 백혈구가 증가되어 있다. 복부 CT에서 충수는 정상이나, 우측 난소와 난관이 부종성으로 확장되어 있고, 주변에 소량의 복수가 관찰된다.

A. 응급 충수절제술
B. 진통제 투여 후 경과 관찰
C. 광범위 항생제 투여와 입원 치료
D. 복강경하 진단적 수술과 필요시 충수절제술
E. 메토트렉세이트(methotrexate) 주사",C,Gynecology
"5세 여아가 3일 전부터 시작된 간헐적인 복통과 구토를 주소로 응급실에 내원하였다. 환자는 통증이 심할 때 무릎을 가슴으로 당기며 움츠리는 자세를 취하고, 10-15분 정도 지속된 후 완화된다고 한다. 어제부터는 혈변이 관찰되었으며, 보호자는 '딸기잼'처럼 보인다고 표현했다. 환자는 최근 상기도 감염 증상이 있었으며, 체중은 17kg(10백분위수)이다. 신체 진찰에서 우상복부에 소시지 모양의 종괴가 만져지며 압통이 있다. 활력 징후는 체온 37.5℃, 맥박 110회/분, 호흡수 24회/분, 혈압 100/60mmHg이다.

혈액 검사에서 백혈구 12,200/μL, 혈색소 11.2g/dL, 혈소판 280,000/μL이다. 이 환자에게 가장 적절한 다음 진단적 검사는?

A. 복부 전산화단층촬영(CT)
B. 복부 초음파
C. 바륨 관장 검사
D. 상부위장관 내시경
E. 메켈게실 신티그래피",B,Pediatrics
"9세 남아가 3일 전부터 시작된 상복부 통증과 구토를 주소로 응급실에 내원하였다. 환자는 식후 악화되는 화끈거리는 통증을 호소하며, 구토물에 소량의 혈액이 섞여 있었다고 한다. 환자는 최근 2주간 비스테로이드성 소염제를 복용했으며, 1년 전 유사한 증상으로 치료받은 적이 있다. 가족력상 아버지가 소화성 궤양으로 치료받았다. 신체 진찰에서 상복부 압통이 확인되었으나 반발통은 없다. 활력 징후는 체온 37.0℃, 맥박 88회/분, 호흡수 20회/분, 혈압 105/65mmHg이다.

혈액 검사에서 백혈구 8,800/μL, 혈색소 11.5g/dL, 혈소판 300,000/μL이다. 상부위장관 내시경에서 위 전정부에 0.8cm 크기의 활동성 궤양이 관찰되었으며, 조직 검사 및 신속 요소분해효소 검사(Rapid urease test)에서 헬리코박터 파일로리 감염이 확인되었다. 이 환자의 초기 치료로 가장 적절한 것은?

A. 오메프라졸 단독 투여
B. 라니티딘과 제산제 병합 투여
C. 오메프라졸, 아목시실린, 클래리스로마이신, 비스무트 병합 투여
D. 오메프라졸, 아목시실린, 클래리스로마이신 병합 투여
E. 내시경적 지혈술 시행",D,Pediatrics
"14세 여아가 2일 전부터 시작된 우측 옆구리 통증과 발열을 주소로 응급실에 내원하였다. 환자는 빈뇨, 배뇨통, 잔뇨감을 호소하며, 오한과 구토가 동반되었다. 내원 당일 아침 소변에서 혈뇨가 관찰되었다고 한다. 활력 징후는 체온 39.2℃, 맥박 110회/분, 호흡수 24회/분, 혈압 110/70mmHg이다. 신체 진찰에서 우측 늑골척추각 압통이 뚜렷하게 관찰되었으며, 하복부에 경미한 압통이 있다.

혈액 검사에서 백혈구 16,500/μL(호중구 85%), CRP 12.5mg/dL, 혈색소 13.0g/dL, 혈소판 280,000/μL, BUN 18mg/dL, Creatinine 0.9mg/dL이다. 소변 검사에서 백혈구 많음(>100/HPF), 적혈구 많음(>50/HPF), 단백 2+, 아질산염 양성, 백혈구 에스테라제 양성이다. 이 환자의 가장 가능성 높은 진단은?

A. 급성 충수염
B. 요로결석
C. 급성 신우신염
D. 난소 낭종 파열
E. 급성 췌장염",C,Pediatrics
"22세 남성이 24시간 전부터 시작된 우하복부 통증으로 응급실에 내원하였다. 복통은 처음에는 배꼽 주위에서 시작되었다가 점차 우하복부로 이동하였다고 한다. 환자는 오심, 구토, 식욕부진을 호소하였으며, 38.0°C의 발열이 있었다. 신체 검사에서 우하복부에 압통이 있었고, 반발통과 근성방어가 관찰되었다. McBurney 점에서 최대 압통이 있었으며, Rovsing 징후와 psoas 징후가 양성이었다. 이 환자에서 진단을 위해 가장 적절한 검사는?

혈액 검사: 백혈구 14,500/μL (호중구 82%), 헤모글로빈 15.2 g/dL, 혈소판 280,000/μL, CRP 4.5 mg/dL
소변 검사: 정상

A. 복부 단순 방사선 촬영
B. 복부 초음파 검사
C. 복부 CT 검사
D. 복부 MRI 검사
E. 상부 위장관 내시경 검사",C,General Surgery
"45세 남성이 음주 후 발생한 심한 상복부 통증으로 응급실에 내원하였다. 환자는 24시간 전부터 갑작스러운 상복부 통증이 시작되었고, 통증이 등으로 방사된다고 호소하였다. 구역, 구토가 동반되었으며 구토물에 혈액은 관찰되지 않았다. 환자는 10년간 하루 소주 1병 정도의 음주력이 있으며, 유사한 복통으로 1년 전에도 입원한 적이 있다고 한다. 신체 검사에서 혈압 100/60mmHg, 맥박 110회/분, 호흡수 24회/분, 체온 38.3°C였다. 복부 진찰에서 상복부 압통과 반발통이 있었고, 장음은 감소되어 있었다. 피부에 황달은 없었으나, 복부에 반상출혈(Cullen 징후)이 관찰되었다. 이 환자의 급성복통에 대한 가장 적합한 치료 계획은?

혈액 검사: 백혈구 16,800/μL, 헤모글로빈 14.5 g/dL, 혈소판 110,000/μL, 혈당 180 mg/dL, BUN 40 mg/dL, 크레아티닌 1.8 mg/dL, AST 250 U/L, ALT 220 U/L, 총 빌리루빈 2.0 mg/dL, 아밀라아제 1,800 U/L, 리파아제 2,200 U/L, CRP 18 mg/dL, 칼슘 7.2 mg/dL
복부 CT: 췌장의 미만성 종대와 주변 지방조직의 혼탁, 복수, 췌장 주위 및 전방 신장 공간의 체액 저류

A. 응급 내시경적 역행성 담췌관 조영술(ERCP)과 유두부 괄약근 절개술
B. 금식, 수액 요법, 진통제, 항생제 투여
C. 응급 개복술과 괴사 조직 제거술
D. 경피적 배액술
E. 즉각적인 복강경 담낭 절제술",B,Gastroenterology
"75세 여성이 6시간 전부터 갑자기 악화된 심한 복통으로 응급실에 내원하였다. 통증은 처음에는 상복부에 국한되었다가 점차 전체 복부로 퍼졌고, 움직이거나 기침할 때 통증이 악화된다고 하였다. 환자는 최근 2주간 소화불량과 상복부 통증이 간헐적으로 있었고, 평소 아스피린을 복용 중이라고 한다. 신체 검사에서 혈압 90/60mmHg, 맥박 110회/분, 호흡수 28회/분, 체온 38.2°C였다. 복부는 팽만되어 있고 전체적으로 압통과 반발통이 있었으며, 장음은 거의 들리지 않았다. 환자는 창백하고 차가운 사지를 보였으며, 의식은 명료하였으나 불안해 보였다. 이 환자에게 가장 적합한 초기 치료는?

혈액 검사: 백혈구 16,500/μL (호중구 89%), 헤모글로빈 12.5 g/dL, 혈소판 380,000/μL, BUN 35 mg/dL, 크레아티닌 1.4 mg/dL, 혈청 lactate 4.2 mmol/L, 혈액 가스 분석: pH 7.30, PCO₂ 30 mmHg, PO₂ 68 mmHg, HCO₃ 16 mEq/L
복부 X-선 검사: 횡격막 하 자유 공기 관찰됨
복부 CT: 소량의 복수와 위 전벽의 천공, 복강 내 자유 공기 관찰됨

A. 광범위 항생제 투여 후 24시간 경과 관찰
B. 비위관 삽입, 광범위 항생제 투여, 수액 요법, 응급 수술
C. 내시경적 천공 봉합술
D. CT 유도하 경피적 배액술
E. H₂ 수용체 길항제 정맥 투여와 금식",B,General Surgery
"65세 남성이 우상복부 통증으로 응급실에 내원하였다. 환자는 고지방 식사 후 3시간 전부터 갑자기 시작된 심한 우상복부 통증을 호소하였으며, 등과 우측 견갑골 부위로 통증이 방사된다고 하였다. 오심과 구토가 동반되었고 열감을 느꼈다고 한다. 과거력상 고혈압, 당뇨병, 고지혈증으로 약물 치료 중이며, 1년 전 체중 감량을 위해 매우 저칼로리 식이를 1개월간 시행한 적이 있다고 한다. 신체 검사에서 혈압 140/85mmHg, 맥박 98회/분, 호흡수 20회/분, 체온 38.1°C였다. 복부 진찰에서 우상복부에 현저한 압통과 Murphy 징후 양성 소견을 보였다. 다음 중 이 환자의 복통 발생 기전으로 가장 적절한 것은?

혈액 검사: 백혈구 15,200/μL (호중구 82%), 헤모글로빈 14.0 g/dL, 혈소판 250,000/μL, 총 빌리루빈 1.8 mg/dL, AST 45 U/L, ALT 50 U/L, ALP 140 U/L, GGT 80 U/L, 아밀라아제 85 U/L, CRP 8.5 mg/dL
복부 초음파: 담낭 확장, 담낭벽 비후(8mm), 담낭 내 다발성 결석, Murphy 징후 양성, 담관 확장 소견 없음

A. 담낭관 폐쇄로 인한 담즙 정체와 담낭벽의 화학적 자극
B. 세균 감염으로 인한 담낭벽 염증과 담낭 점막의 부종
C. 복강 내 장기로부터의 연관통
D. 복강 외 장기(폐 기저부)로부터의 방사통
E. 내장 혈관의 혈전증으로 인한 허혈성 통증",A,Gastroenterology
"70세 남성이 24시간 전부터 시작된 심한 복통과 구토로 응급실에 내원하였다. 환자는 복통이 복부 전체에 걸쳐 있으며, 심할 때는 움직이기 힘들 정도라고 하였다. 구토는 10회 이상 있었고, 최근에는 구토물에 담즙이 섞여 나왔다고 한다. 환자는 2일 전부터 대변을 보지 못했고, 가스도 나오지 않았다고 호소하였다. 과거력상 30년 전 충수절제술과 5년 전 복부 대동맥류 복구술을 받았으며, 고혈압과 관상동맥질환으로 치료 중이다. 신체 검사에서 혈압 130/85mmHg, 맥박 98회/분, 호흡수 22회/분, 체온 37.5°C였다. 복부는 심하게 팽만되어 있었고, 장음은 항진되어 있었으며, 금속성 소리(tinkling sound)가 들렸다. 복부 전반에 압통이 있었으나 반발통은 뚜렷하지 않았다. 항문 수지 검사에서 직장 내 대변은 없었다. 이 환자에게 진단적 가치가 가장 높은 검사는?

혈액 검사: 백혈구 12,500/μL (호중구 78%), 헤모글로빈 15.2 g/dL, 혈소판 280,000/μL, BUN 28 mg/dL, 크레아티닌 1.2 mg/dL, Na 138 mEq/L, K 3.8 mEq/L, Cl 100 mEq/L, 혈청 lactate 2.2 mmol/L
복부 X-선 검사: 소장과 대장의 확장, 다수의 공기-액체층, 대장 내 가스 감소

A. 복부 초음파 검사
B. 복부 CT 검사
C. 상부 위장관 내시경 검사
D. 하부 위장관 내시경 검사
E. MRCP(자기공명담췌관조영술)",B,General Surgery
"38세 남성이 6시간 전부터 시작된 극심한 좌측 옆구리 통증으로 응급실에 내원하였다. 통증은 갑자기 시작되었고 간헐적으로 악화되며, 좌측 아랫배와 서혜부, 외부 생식기 쪽으로 방사된다고 하였다. 환자는 오심, 구토, 안절부절못함을 호소하였고, 소변이 붉게 나온다고 하였다. 과거력상 5년 전에도 유사한 증상이 있었으며, 고기와 소금을 많이 섭취하는 식습관이 있다고 한다. 신체 검사에서 혈압 145/90mmHg, 맥박 96회/분, 호흡수 18회/분, 체온 37.1°C였다. 좌측 늑골척추각 압통이 뚜렷하였고, 복부는 부드럽고 압통은 없었다. 다음 중 이 환자의 복통 발생 기전으로 가장 적절한 것은?

혈액 검사: 백혈구 11,200/μL, 헤모글로빈 15.0 g/dL, 혈소판 240,000/μL, BUN 22 mg/dL, 크레아티닌 1.2 mg/dL, Na 138 mEq/L, K 4.0 mEq/L, Ca 9.2 mg/dL, 요산 7.8 mg/dL
소변 검사: 적혈구 >100/HPF, 백혈구 2-5/HPF, 단백 1+
비조영 복부 CT: 좌측 요관 상부에 7mm 크기의 결석과 좌측 신장의 수신증

A. 내장 혈관의 혈전증으로 인한 허혈성 통증
B. 염증성 매개체에 의한 장점막의 자극
C. 요관 평활근의 급격한 수축과 요로 폐쇄로 인한 신장 피막의 신장
D. 복강 내 염증으로 인한 복막의 자극
E. 위산에 의한 위점막의 화학적 자극",C,Urology
"68세 여성이 3일 전부터 시작된 좌하복부 통증으로 응급실에 내원하였다. 통증은 지속적이며 움직임이나 기침에 의해 악화된다고 하였다. 환자는 오한, 38.5°C의 발열, 식욕부진을 호소하였고, 배변 습관이 변하여 변비와 설사가 교대로 나타난다고 하였다. 과거력상 고혈압과 고지혈증으로 약물 치료 중이며, 특별한 수술력은 없었다. 신체 검사에서 혈압 130/85mmHg, 맥박 92회/분, 호흡수 18회/분, 체온 38.3°C였다. 복부 진찰에서 좌하복부에 국한된 압통이 있었고, 경한 반발통이 있었으며, 복부 종괴는 촉지되지 않았다. 직장 수지 검사에서 특이 소견은 없었다. 이 환자의 급성복통 원인을 파악하기 위해 가장 적절한 검사는?

혈액 검사: 백혈구 14,800/μL (호중구 82%), 헤모글로빈 13.2 g/dL, 혈소판 260,000/μL, CRP 8.5 mg/dL, BUN 18 mg/dL, 크레아티닌 0.9 mg/dL
소변 검사: 정상
복부 X-선 검사: 좌하복부에 소량의 공기-액체층, 대장 가스 증가

A. 복부 초음파 검사
B. 복부 CT 검사
C. 대장내시경 검사
D. 바륨 관장 검사
E. 자기공명영상(MRI) 검사",B,Gastroenterology
"25세 여성이 4시간 전부터 시작된 심한 우하복부 통증으로 응급실에 내원하였다. 환자는 생리를 7주 전에 마지막으로 하였고, 평소 생리 주기는 규칙적이었다고 한다. 통증은 갑자기 시작되었으며, 어깨로 방사되는 양상이라고 하였다. 환자는 오심, 어지러움을 호소하였고, 내원 직전 실신한 적이 있다고 하였다. 과거력상 1년 전 클라미디아 감염으로 치료받은 적이 있으며, 자궁외임신이나 골반 수술력은 없었다. 신체 검사에서 혈압 90/50mmHg, 맥박 112회/분, 호흡수 20회/분, 체온 36.8°C였다. 복부 진찰에서 우하복부에 압통이 있었고, 반발통이 있었으며, 질 검사에서 자궁 경부 움직임 시 통증이 있었다. 환자는 창백하고 말초 관류가 감소해 보였다. 이 환자에게 가장 적합한 초기 치료는?

혈액 검사: 백혈구 11,500/μL, 헤모글로빈 10.2 g/dL, 혈소판 240,000/μL, β-hCG 2,850 mIU/mL
초음파 검사: 자궁 내 임신낭 관찰되지 않음, 우측 난관 부위에 3.0cm 크기의 종괴와 더글라스와(Pouch of Douglas)에 중등도의 복강 내 액체 저류

A. 메토트렉세이트 근육주사
B. 응급 개복술 또는 복강경 수술
C. 자궁경부 확장 및 소파술
D. 복강 내 항생제 투여 및 경과 관찰
E. 경구피임약 투여 및 외래 추적 관찰",B,Obstetrics
"78세 남성이 6시간 전부터 갑자기 시작된 심한 복통으로 응급실에 내원하였다. 환자는 식사 후 발생한 심한 복통이 지속되고 있으며, 통증이 배꼽 주위에서 시작되어 점차 전체 복부로 퍼졌다고 하였다. 환자는 오심과 구토가 있었고, 2시간 전부터 소량의 혈변이 있었다고 한다. 과거력상 심방세동, 고혈압, 관상동맥질환, 당뇨병이 있으며, 항응고제(와파린)와 항혈소판제(아스피린)를, 복용 중이다. 1주일 전 심부전으로 이뇨제 용량을 증량하였다. 신체 검사에서 혈압 100/60mmHg, 맥박 110회/분(불규칙), 호흡수 22회/분, 체온 36.5°C였다. 복부는 팽만되어 있고 전체적으로 압통이 있었으며, 반발통이 명확하지는 않았다. 장음은 감소되어 있었고, 직장 수지 검사에서 소량의 혈액이 묻어 나왔다. 이 환자의 급성복통에 대한 가장 적합한 치료 계획은?

혈액 검사: 백혈구 15,200/μL, 헤모글로빈 13.8 g/dL, 혈소판 180,000/μL, BUN 38 mg/dL, 크레아티닌 1.6 mg/dL, Na 138 mEq/L, K 3.7 mEq/L, Cl 100 mEq/L, 혈청 lactate 4.8 mmol/L, pH 7.32, 염기결핍 -6 mEq/L, PT/INR 3.2, aPTT 45초
복부 CT 혈관조영: 상장간막동맥의 혈전과 소장 및 근위부 대장의 조영증강 감소, 장벽 비후, 장간막 부종

A. 항응고제 중단 및 정맥 수액 공급만으로 경과 관찰
B. 응급 혈관내 혈전제거술 또는 동맥내 혈전용해술
C. 응급 개복술 및 장절제술
D. 고압산소요법과 항생제 투여
E. 혈관조영술 및 혈관확장제(파파베린) 주입",C,Gastroenterology
"72세 남성이 갑작스럽게 발생한 심한 복통과 요통으로 응급실에 내원하였다. 환자는 3시간 전 휴식 중에 갑자기 배꼽 주위의 찢어지는 듯한 통증이 시작되었고, 곧 등 쪽으로 방사되었다고 하였다. 환자는 창백하고 땀을 많이 흘리고 있었으며, 오심을 호소하였다. 과거력상 고혈압, 고지혈증, 관상동맥질환, 30갑년의 흡연력이 있으며, 2년 전 검진에서 3.8cm 크기의 복부 대동맥류를 진단받았으나 추적 관찰을 받지 않았다고 한다. 신체 검사에서 혈압 85/50mmHg, 맥박 120회/분, 호흡수 24회/분, 체온 36.4°C였다. 환자는 극심한 고통을 호소하였고, 복부 진찰에서 중앙부에 박동성 종괴가 촉지되었으며, 종괴 주위로 압통이 있었다. 사지는 차갑고, 말초 맥박이 약하게 촉지되었다. 다음 중 이 환자의 급성복통의 가장 가능성 높은 원인은?

혈액 검사: 백혈구 14,200/μL, 헤모글로빈 11.0 g/dL, 헤마토크릿 31%, 혈소판 180,000/μL, BUN 32 mg/dL, 크레아티닌 1.5 mg/dL, Na 135 mEq/L, K 4.5 mEq/L, Cl 100 mEq/L
흉부 X-선: 특이 소견 없음
심전도: 동성 빈맥
복부 CT 혈관조영: 최대 직경 7.5cm의 복부 대동맥류, 대동맥 주위 혈종, 후복막 내 혈액 저류

A. 복부 대동맥류 파열
B. 급성 췌장염
C. 장간막 허혈
D. 십이지장 궤양 천공
E. 요로결석",A,Vascular Surgery
"65세 남성이 2일 전부터 시작된 우상복부 통증, 발열, 오한으로 응급실에 내원하였다. 환자는 1주일 전부터 식욕부진과 전신 쇠약감이 있었고, 황달이 점차 심해졌다고 한다. 통증은 지속적이고 심하며, 방사되는 양상은 없다고 하였다. 과거력상 10년 전 담석증으로 담낭절제술을 받았고, 고혈압과 당뇨병으로 약물 치료 중이다. 신체 검사에서 혈압 100/60mmHg, 맥박 110회/분, 호흡수 22회/분, 체온 38.8°C였다. 환자는 급성 병색을 보였고, 공막 황달이 뚜렷하였다. 복부 진찰에서 우상복부에 현저한 압통이 있었고, Murphy 징후는 음성이었다. 이 환자에게 가장 적합한 초기 치료는?

혈액 검사: 백혈구 18,500/μL (호중구 85%), 헤모글로빈 13.0 g/dL, 혈소판 160,000/μL, 총 빌리루빈 5.2 mg/dL, 직접 빌리루빈 3.8 mg/dL, AST 120 U/L, ALT 150 U/L, ALP 380 U/L, GGT 250 U/L, 아밀라아제 95 U/L, CRP 12.5 mg/dL
복부 초음파: 총담관 확장(12mm), 간내 담관 확장, 총담관 내 8mm 크기의 결석

A. 응급 내시경적 역행성 담췌관 조영술(ERCP)과 담관 배액술
B. 경피적 담낭 배액술
C. 경구 항생제와 외래 추적 관찰
D. 응급 개복술과 총담관 절개술
E. 비수술적 보존 치료(금식, 정맥 수액, 진통제)",A,Gastroenterology
